"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"Canon EOS R10 RF-S 18-45 IS STM",13929367,null/null/null/null,0,
"Banana (pack of 12)",27583341,,10,
"Apple Watch Series 8 GPS 45mm Midnight Aluminum Case",31429623,,5,
"Apple Watch SE GPS + Cellular 40mm Space Gray",92178104,,5,
"Apple TV HD 32GB (2nd Generation)",71493353,null,10,
"Apple Smart Watch",12010761,null/null/null,10,
"Apple iPhone XS Max-64GB -white",22061536,,9,
"Apple iPhone 11 (4GB-64GB) Black",49251814,null/null/null,-3,
"Acer Chromebook 315"," 15.6 HD – Intel Celeron N4000",30798200,null,9,
"2021 Apple 12.9-inch iPad Pro Wi-Fi 512GB",2035892312345,null/null,-4,
"Microsoft – Surface Laptop 4 13.5” Touch-Screen – AMD Ryzen 5",24005329,null,4,
"iRobot Roomba E6 (6199) Robot Vacuum",56858702,,10,
"iPhone 14 Pro 256GB Gold",29733132,,6,
"Huawei Watch GT 2 Sport Stainless Steel 46mm",02456392,,10,
"HP Victus 16-e00244AX GTX 1650 Gaming Laptop 16.1” FHD 144Hz",81526930,,6,
"GORENJE Waschmaschine WHP74EPS Waschmaschine",43879312,,9,
"Gala Original Apple - 1KG",80912386,,10,
"Fresh Organic Navel Orange",33887520,,10,
"Epson Inkjet WorkForce Pro WF-3820DWF",20142029,,9,
"Electrolux EW6F449ST PerfectCare 9 Kg Washing Machine",23279148,,10,
"Zenbook 14 OLED (UX3402)｜Laptops For Home – ASUS",59028109,null/null,-6,
"Xbox One Wireless Controller Black Color",93060790,,10,
"WOLFANG GA420 Action Camera 4K 60FPS 24MP",99218280,,10,
"Water Melon ~ 3KG",19186147,,10,
"Sony Bravia 55X90J 4K Ultra HD 55″ 140 Screen Google Smart LED TV",16530612,,8,
"Sony A7 III Mirrorless Camera Body Only",99421096,,10,
"Samsung Galaxy Chromebook Go"," 14″ HD LED"," Intel Celeron N4500",28090345,,2,
"SAMSUNG Galaxy Book Pro 15.6 Laptop – Intel Core i5",67015642,null,6,
"Samsung Galaxy Active 2 R835U Smartwatch 40mm",10203743,,10,
"Samsung 43AU7000 4K Ultra HD 43″ 109 Screen Smart LED TV",73189124,,9,
"green spice",61226895,,0,
"Samsung Adapter",99767039,1005/1001/1002/9001/9002/9004/9003,7,
"Gen Z Backpack",03854662,,4,
"Gen Z Backpack",03854662,,0,
"Gen Z Backpack",03854662,,5,
"Gen Z Backpack",03854662,,1,
"Gen Z Backpack",03854662,,3,
"Gen Z Backpack",03854662,,2,
"Iphone 15",32111792,,0,
"Iphone Combo",50867823,,0,
"wwe champion belt",17972803,,0,
ttt,94235320,,0,
